x(m),y(m),MagFT (nT)
31,31,7.227824294
23,25,7.586521661
34,28,5.485105551
8,23,9.530422813
19,11,5.715049624
39,39,7.047333321
22,39,12.72487852
14,10,6.909240707
11,21,9.034722731
39,20,1.93104653
29,21,5.171719407
27,35,9.488268562
18,28,10.19398784
36,17,2.064891405
26,18,5.620897421
22,37,11.70873133
29,2,3.039611794
33,35,8.26782711
11,14,7.381461264
8,5,6.889244189
33,31,6.679433987
36,9,1.184699915
7,31,12.01319091
35,4,0.996890952
11,3,6.79773792
25,19,5.962260417
21,37,11.78210279
24,21,6.49428772
35,39,8.727933478
18,14,6.402377203
15,18,7.836050854
12,11,7.282105163
8,40,14.79484848
36,23,3.239192864
27,39,11.24492352
18,17,6.919555111
2,8,7.414474811
7,11,7.756193739
25,38,11.34263324
29,3,3.145490001
1,40,15.14565524
28,39,11.16752421
36,1,0.615838365
29,39,10.58810087
15,22,8.418635088
7,32,12.47440574
35,38,8.459695243
7,8,7.565674845
33,16,3.276715091
26,34,9.511436001
27,26,7.074788773
14,13,6.911844255
8,29,11.02616032
16,7,5.967339533
40,36,5.790750258
18,34,11.41895538
29,22,5.264711958
32,12,2.835408674
8,21,9.146345497
16,27,9.624248276
2,11,8.121553277
21,24,8.216977433
30,14,3.55036826
21,16,6.481521702
29,21,5.171719407
30,1,3.001579395
39,18,1.357178808
31,1,2.580215459
23,5,4.691966494
26,25,6.846793664
13,8,6.690327567
19,29,10.82751606
9,38,14.11155809
10,29,10.9505863
39,9,0.331555512
37,5,0.645620317
4,11,7.960432865
4,21,9.484442802
26,38,11.42587849
33,7,2.030508253
36,39,8.337601441
18,9,5.471060759
31,25,5.676003015
22,6,4.571583036
29,34,8.645913561
15,13,7.167828109
39,24,2.309451077
20,18,6.929633745
7,19,8.641573074
10,36,13.09249912
10,1,6.817070957
29,18,4.938458843
28,38,10.51641961
5,16,8.211258734
13,29,10.70161224
19,15,6.71555254
8,40,14.79484848
29,5,3.177546618
1,13,8.23319604
10,31,11.58057127
3,37,14.0942612
27,1,3.837028326
29,19,4.742654648
4,33,12.93753971
4,30,11.8392908
13,31,11.56997795
34,16,2.738847871
23,32,10.28055455
23,17,6.280842128
15,5,6.357411984
24,27,8.107083536
27,23,6.285625316
4,18,8.838053813
32,19,3.760046298
7,35,13.34435349
21,39,12.81627516
20,4,5.224771294
36,22,3.477008603
29,3,3.145490001
5,33,12.35616877
13,1,6.630269522
28,11,3.839895574
20,29,10.67122967
27,36,10.32629011
37,30,4.993670649
11,20,8.811283366
25,8,4.11762327
12,13,7.665157813
10,14,7.743215723
14,8,6.71331933
22,40,13.11386373
28,26,6.599568013
16,28,10.45410147
31,5,2.505572793
39,22,2.299251114
34,26,5.127247152
33,11,2.613644255
35,33,6.768826767
27,21,5.872166687
4,1,7.006213699
2,8,7.414474811
33,14,2.722425168
20,5,5.038160732
39,27,3.371026096
14,11,6.594825874
36,20,2.880357753
2,40,15.194732
27,34,9.491710251
19,25,8.71373199
25,14,5.093253923
26,19,6.012800744
27,14,4.639565005
5,11,8.021896327
38,20,2.352613837
40,11,-0.080722015
26,35,10.2638727
18,12,5.733622741
2,9,7.542814477
40,22,1.708337108
8,9,7.193226538
8,1,7.040821936
39,16,0.748282148
25,34,10.05480322
5,28,11.0838848
22,1,4.754193549
16,11,6.284259593
29,15,4.295234476
14,17,7.819658495
6,29,11.30719568
35,16,2.505510638
24,36,10.75742659
33,26,5.345089699
15,38,13.50409336
26,27,7.445644055
20,21,7.784929887
40,37,5.955755882
29,14,4.368797604
26,24,6.649140634
34,15,2.943526096
16,29,10.39824276
3,29,11.19121073
1,30,11.49967154
27,25,6.902896069
13,6,6.771759468
29,14,4.368797604
1,1,7.103331254
39,13,0.397968123
3,22,9.899717726
29,3,3.145490001
19,18,6.872854243
10,7,7.256889382
5,29,11.34467593
14,29,10.37659412
28,26,6.599568013
6,2,7.014323264
32,35,8.370247058
31,19,4.179762083
21,32,10.6276004
37,31,5.51566583
14,23,8.768219137
